,Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
0,AAGR11,Indefinido,5848.9,0.0,0.0103,-0.015,0.0,0
1,AAZQ11,Indefinido,654462.24,70.0,0.013500000000000002,0.0431,208745497.59,29829
2,ABCP11,Shoppings,60839.95,70.0,0.009000000000000001,0.0218,503496718.25,15558
3,AFHI11,Papéis,1111830.95,94.0,0.0,0.0,432224228.96,42539
4,AGRX11,Outros,383579.9,0.0,0.008100000000000001,-0.2022,0.0,0
5,AIEC11,Lajes Corporativas,524795.67,51.0,0.0138,-0.018799999999999997,409856001.38,18874
6,AJFI11,Shoppings,544918.14,58.0,0.0096,-0.018799999999999997,387514867.4,13191
7,ALMI11,Lajes Corporativas,15423.33,27.0,0.012199999999999999,0.0184,241507669.88,2092
8,ALZC11,Papéis,474377.9,147.0,0.0131,-0.011000000000000001,118155565.38,8102
9,ALZM11,Fundo de Fundos,174099.86,76.0,0.0118,-0.011000000000000001,120540353.6,12138
10,ALZR11,Misto,2206700.24,93.0,0.0078000000000000005,-0.0337,1288080789.12,154533
11,APTO11,Imóveis Residenciais,23533.62,84.0,0.01,-0.0033,45402736.75,9078
12,APXM11,Shoppings,33842.43,97.0,0.0036,0.0096,241689923.79,535
13,ARCT11,Imóveis Industriais e Logísticos,1053903.45,87.0,0.0,0.0,371534654.03,43228
14,AROA11,Imóveis Industriais e Logísticos,3990.71,104.0,0.0059,-0.0625,165793201.12,3865
15,ARRI11,Papéis,456566.0,90.0,0.0105,0.0287,172628441.35,25875
16,ARXD11,Papéis,91650.05,8.0,0.012,-0.9028,86427918.96,1310
17,ASMT11,Lajes Corporativas,7358.24,43.0,0.0111,-0.055,98964564.68,446
18,ASRF11,Indefinido,52105.0,114.0,0.0,0.0,28269972.99,68
19,ATSA11,Shoppings,3442.62,65.0,0.0092,-0.0091,134299450.74,287
20,AURB11,Imóveis Comerciais - Outros,4310.05,103.0,0.0,0.0,68294946.08,19
21,AZPL11,Serviços Financeiros Diversos,562895.05,69.0,0.0118,-0.036000000000000004,175894951.15,7752
22,BARI11,Papéis,645662.48,69.0,0.0111,-0.044500000000000005,420271435.08,38195
23,BBFI11B,Lajes Corporativas,182918.19,41.0,0.47509999999999997,0.042199999999999994,112051413.35,7144
24,BBFO11,Fundo de Fundos,350512.33,81.0,0.009899999999999999,-0.0375,291568249.71,6782
25,BBGO11,Indefinido,717564.62,65.0,0.0013,-0.0567,389023265.06,12590
26,BBIG11,Serviços Financeiros Diversos,1543195.29,73.0,0.0126,-0.2143,967287258.8,26259
27,BBIM11,Papéis,0.0,0.0,0.0,0.0,66750.0,20
28,BBPO11,Agências de Bancos,1815419.7,84.0,0.0109,-0.0506,1614021771.69,68471
29,BBRC11,Agências de Bancos,178951.71,89.0,0.009899999999999999,-0.002,178003639.31,9422
30,BCIA11,Fundo de Fundos,444992.33,82.0,0.009899999999999999,-0.0592,355150580.39,26011
31,BCRI11,Papéis,511707.52,68.0,0.0121,-0.0141,539905145.16,43375
32,BDIF11,Indefinido,3631621.67,0.0,0.0129,-0.0298,0.0,0
33,BDIV11,Indefinido,757044.62,0.0,0.5292,-0.0282,0.0,0
34,BETW11,Indefinido,0.0,0.0,0.0,0.0,251577813.14,1
35,BICE11,Fundo de Fundos,234657.19,96.0,0.0097,0.0356,123045058.26,118
36,BICR11,Papéis,4457.0,84.0,0.0102,-0.1054,21402673.99,674
37,BIDB11,Indefinido,368941.81,0.0,0.011000000000000001,-0.0677,0.0,0
38,BIME11,Indefinido,69282.57,74.0,0.0129,-0.046,49575692.66,8841
39,BINC11,Papéis,548893.38,0.0,0.0089,-0.0621,0.0,0
40,BIPD11,Indefinido,94906.0,92.0,0.0,0.0,91284991.7,112
41,BLCA11,Indefinido,179161.0,74.0,0.0053,-0.025099999999999997,191120507.96,495
42,BLCP11,Imóveis Industriais e Logísticos,103127.5,143.0,0.0063,0.0,118155565.38,8102
43,BLMC11,Papéis,150671.33,134.0,0.0,0.0,118155565.38,8102
44,BLMG11,Imóveis Industriais e Logísticos,488429.62,38.0,0.0149,-0.10980000000000001,288736482.85,14095
45,BLMO11,Lajes Corporativas,17513.52,75.0,0.0062,0.0068000000000000005,103463246.47,394
46,BLMR11,Fundo de Fundos,1157702.33,11.0,0.0,0.0,118155565.38,8102
47,BLOG11,Misto,3136.0,102.0,0.0,0.0,145290008.16,23
48,BLUR11,Papéis,1986.24,89.0,0.008100000000000001,-0.1235,7539577.43,135
49,BMLC11,Lajes Corporativas,165248.1,97.0,0.0077,-0.0014000000000000002,99256939.57,1380
50,BNFS11,Agências de Bancos,136352.43,116.0,0.013999999999999999,-0.11810000000000001,58628829.86,5514
51,BODB11,Indefinido,1977695.57,0.0,0.0038,-0.0435,0.0,0
52,BPFF11,Fundo de Fundos,390865.57,78.0,0.0101,-0.0226,316473391.74,21076
53,BPLC11,Misto,0.0,0.0,0.0,0.0,328591587.35,114
54,BPML11,Shoppings,983137.71,55.0,0.0134,-0.005,957176860.53,5967
55,BPRP11,Imóveis Industriais e Logísticos,1228.57,86.0,0.0,0.0,169496975.27,171
56,BRCO11,Imóveis Industriais e Logísticos,3804846.05,82.0,0.0087,-0.0622,1888409655.64,117506
57,BRCR11,Lajes Corporativas,1637424.71,45.0,0.012199999999999999,-0.058499999999999996,2368970094.65,131824
58,BREV11,Lajes Corporativas,329418.76,165.0,0.0055000000000000005,0.0032,118155565.38,8102
59,BRFT11,Misto,77182.43,0.0,0.013500000000000002,-0.027000000000000003,0.0,0
60,BRIM11,Fundo de Desenvolvimento,32167.29,141.0,0.046,-0.0383,89547033.68,413
61,BRIP11,Fundo de Desenvolvimento,24248.9,95.0,0.0358,-0.0064,203298246.28,316
62,BRLA11,Imóveis Industriais e Logísticos,21194.28,88.0,0.008199999999999999,-0.0541,800422005.14,437
63,BROF11,Lajes Corporativas,432352.38,39.0,0.0097,0.0374,1261528596.94,10111
65,BTAG11,Indefinido,436004.1,0.0,0.0149,-0.0562,0.0,0
66,BTAL11,Imóveis Industriais e Logísticos,585896.19,61.0,0.011699999999999999,-0.0075,671669756.0,41608
67,BTCI11,Papéis,2325061.76,81.0,0.011000000000000001,-0.09,995855831.35,178871
68,BTCR11,Papéis,135987.62,138.0,0.0098,-0.0596,118155565.38,8102
69,BTHF11,Papéis,0.0,0.0,0.0,0.0,2123575678.23,10811
70,BTHI11,Hotéis,38502.86,66.0,0.0092,0.1586,582374006.2,1194
71,BTLG11,Imóveis Industriais e Logísticos,10028232.48,88.0,0.008100000000000001,0.0087,4494781893.66,365839
72,BTML11,Lajes Corporativas,0.0,88.0,0.0079,0.0,131207174.94,1
73,BTRA11,Indefinido,539778.67,37.0,0.0076,0.0528,372370898.52,14595
74,BTSG11,Imóveis Industriais e Logísticos,2891.0,109.0,0.006,-0.0059,112592103.04,107
75,BTSI11,Misto,533.0,104.0,0.0067,-0.0067,499181542.39,176
76,BTWR11,Fundo de Desenvolvimento,24599.24,93.0,0.0060999999999999995,0.0,92051642.77,120
77,BTYU11,Incorporações,171491.71,98.0,0.0,0.0,306183962.61,156
78,BZEL11,Misto,0.0,0.0,0.0,0.0,507455659.93,3
79,CACR11,Papéis,2136176.24,82.0,0.0139,-0.0383,471437432.52,24997
80,CARE11,Misto,128341.38,19.0,0.0023,-0.0263,249719125.29,11719
81,CBOP11,Lajes Corporativas,12337.9,31.0,0.0021,-0.0223,101541498.11,2515
82,CCME11,Indefinido,563055.81,78.0,0.0098,-0.1121,710243260.93,4830
83,CCRF11,Papéis,1276.82,145.0,0.0,0.0,118155565.38,8102
84,CCVA11,Indefinido,159202.27,98.0,0.0,0.0,62219445.87,1
85,CDII11,Indefinido,7374516.19,0.0,0.009399999999999999,-0.0661,0.0,0
86,CEOC11,Lajes Corporativas,27477.57,55.0,0.012,-0.0363,131426196.64,4501
87,CFHI11,Fundo de Desenvolvimento,3033.0,99.0,0.0,0.0,61120707.03,103
88,CFII11,Indefinido,6250.0,91.0,0.0,0.0,128910186.16,107
89,CIXM11,Misto,220499.5,24.0,0.0,0.0,228796538.66,108
90,CJCT11,Lajes Corporativas,10991.14,68.0,0.0017000000000000001,-0.0447,225510031.79,966
91,CLIN11,Fundo de Fundos,1511474.33,81.0,0.011899999999999999,-0.1073,422961145.51,11389
92,CNES11,Lajes Corporativas,94062.29,14.0,0.005699999999999999,-0.1016,262037861.86,108813
93,COPP11,Lajes Corporativas,1827632.0,94.0,0.0,0.0,309840713.14,132
94,CORM11,Lajes Corporativas,0.0,0.0,0.009000000000000001,-0.0297,0.0,0
95,CPFF11,Fundo de Fundos,917416.62,80.0,0.0055000000000000005,-0.0323,191530307.2,8055
96,CPFO11,Fundo de Fundos,0.0,0.0,0.0,0.0,118155565.38,8102
97,CPLG11,Misto,2653580.62,105.0,0.013600000000000001,0.0176,358321991.16,176
98,CPOF11,Misto,514824.33,98.0,0.0079,-0.0032,309840713.14,132
99,CPSH11,Indefinido,3781735.14,82.0,0.0118,-0.0323,891969576.93,11838
100,CPTI11,Indefinido,3613416.1,0.0,0.011699999999999999,-0.0388,0.0,0
101,CPTR11,Indefinido,923624.24,65.0,0.011899999999999999,0.0513,390184807.26,30097
102,CPTS11,Papéis,8352562.95,76.0,0.0116,-0.0874,2744158527.53,376678
103,CRAA11,Indefinido,1016344.81,85.0,0.009300000000000001,-0.14880000000000002,239604790.94,8225
104,CRFF11,Fundo de Fundos,52665.52,86.0,0.0089,-0.0353,54372521.24,1336
105,CSMC11,Indefinido,0.0,0.0,0.0,0.0,1365585065.77,1
