Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
AAGR11,Indefinido,"5.848,90",,"1,03 %","-1,50 %",,0
AAZQ11,Indefinido,"654.462,24",70.0,"1,35 %","4,31 %","208.745.497,59",29.829
ABCP11,Shoppings,"60.839,95",70.0,"0,90 %","2,18 %","503.496.718,25",15.558
AFHI11,Papéis,"1.111.830,95",94.0,"0,00 %","0,00 %","432.224.228,96",42.539
AGRX11,Outros,"383.579,90",,"0,81 %","-20,22 %",,0
AIEC11,Lajes Corporativas,"524.795,67",51.0,"1,38 %","-1,88 %","409.856.001,38",18.874
AJFI11,Shoppings,"544.918,14",58.0,"0,96 %","-1,88 %","387.514.867,40",13.191
ALMI11,Lajes Corporativas,"15.423,33",27.0,"1,22 %","1,84 %","241.507.669,88",2.092
ALZC11,Papéis,"474.377,90",147.0,"1,31 %","-1,10 %","118.155.565,38",8.102
ALZM11,Fundo de Fundos,"174.099,86",76.0,"1,18 %","-1,10 %","120.540.353,60",12.138
ALZR11,Misto,"2.206.700,24",93.0,"0,78 %","-3,37 %","1.288.080.789,12",154.533
APTO11,Imóveis Residenciais,"23.533,62",84.0,"1,00 %","-0,33 %","45.402.736,75",9.078
APXM11,Shoppings,"33.842,43",97.0,"0,36 %","0,96 %","241.689.923,79",535
ARCT11,Imóveis Industriais e Logísticos,"1.053.903,45",87.0,"0,00 %","0,00 %","371.534.654,03",43.228
AROA11,Imóveis Industriais e Logísticos,"3.990,71",104.0,"0,59 %","-6,25 %","165.793.201,12",3.865
ARRI11,Papéis,"456.566,00",90.0,"1,05 %","2,87 %","172.628.441,35",25.875
ARXD11,Papéis,"91.650,05",8.0,"1,20 %","-90,28 %","86.427.918,96",1.310
ASMT11,Lajes Corporativas,"7.358,24",43.0,"1,11 %","-5,50 %","98.964.564,68",446
ASRF11,Indefinido,52105,114.0,"0,00 %","0,00 %","28.269.972,99",68
ATSA11,Shoppings,"3.442,62",65.0,"0,92 %","-0,91 %","134.299.450,74",287
AURB11,Imóveis Comerciais - Outros,"4.310,05",103.0,"0,00 %","0,00 %","68.294.946,08",19
AZPL11,Serviços Financeiros Diversos,"562.895,05",69.0,"1,18 %","-3,60 %","175.894.951,15",7.752
BARI11,Papéis,"645.662,48",69.0,"1,11 %","-4,45 %","420.271.435,08",38.195
BBFI11B,Lajes Corporativas,"182.918,19",41.0,"47,51 %","4,22 %","112.051.413,35",7.144
BBFO11,Fundo de Fundos,"350.512,33",81.0,"0,99 %","-3,75 %","291.568.249,71",6.782
BBGO11,Indefinido,"717.564,62",65.0,"0,13 %","-5,67 %","389.023.265,06",12.590
BBIG11,Serviços Financeiros Diversos,"1.543.195,29",73.0,"1,26 %","-21,43 %","967.287.258,80",26.259
BBIM11,Papéis,,,"0,00 %","0,00 %",66750,20
BBPO11,Agências de Bancos,"1.815.419,70",84.0,"1,09 %","-5,06 %","1.614.021.771,69",68.471
BBRC11,Agências de Bancos,"178.951,71",89.0,"0,99 %","-0,20 %","178.003.639,31",9.422
BCIA11,Fundo de Fundos,"444.992,33",82.0,"0,99 %","-5,92 %","355.150.580,39",26.011
BCRI11,Papéis,"511.707,52",68.0,"1,21 %","-1,41 %","539.905.145,16",43.375
BDIF11,Indefinido,"3.631.621,67",,"1,29 %","-2,98 %",,0
BDIV11,Indefinido,"757.044,62",,"52,92 %","-2,82 %",,0
BETW11,Indefinido,,,"0,00 %","0,00 %","251.577.813,14",1
BICE11,Fundo de Fundos,"234.657,19",96.0,"0,97 %","3,56 %","123.045.058,26",118
BICR11,Papéis,4457,84.0,"1,02 %","-10,54 %","21.402.673,99",674
BIDB11,Indefinido,"368.941,81",,"1,10 %","-6,77 %",,0
BIME11,Indefinido,"69.282,57",74.0,"1,29 %","-4,60 %","49.575.692,66",8.841
BINC11,Papéis,"548.893,38",,"0,89 %","-6,21 %",,0
BIPD11,Indefinido,"94.906,00",92.0,"0,00 %","0,00 %","91.284.991,70",112
BLCA11,Indefinido,"179.161,00",74.0,"0,53 %","-2,51 %","191.120.507,96",495
BLCP11,Imóveis Industriais e Logísticos,"103.127,50",143.0,"0,63 %","0,00 %","118.155.565,38",8.102
BLMC11,Papéis,"150.671,33",134.0,"0,00 %","0,00 %","118.155.565,38",8.102
BLMG11,Imóveis Industriais e Logísticos,"488.429,62",38.0,"1,49 %","-10,98 %","288.736.482,85",14.095
BLMO11,Lajes Corporativas,"17.513,52",75.0,"0,62 %","0,68 %","103.463.246,47",394
BLMR11,Fundo de Fundos,"1.157.702,33",11.0,"0,00 %","0,00 %","118.155.565,38",8.102
BLOG11,Misto,3136,102.0,"0,00 %","0,00 %","145.290.008,16",23
